epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,53806.5,0.49773,0.6426,1.08263,0.87987,0.87011,0.91349,0.75622,0.97841,0.75773,1.32418,0.000117079,0.000117079,0.000117079
90,53839,0.47802,0.63108,1.06758,0.88276,0.87703,0.91922,0.74921,0.96453,0.744,1.30371,0.00010808,0.00010808,0.00010808
91,53880.3,0.49645,0.54765,1.10018,0.8457,0.8822,0.91435,0.74699,0.99952,0.78307,1.33534,9.9081e-05,9.9081e-05,9.9081e-05
92,53913,0.47403,0.48966,1.08425,0.88706,0.86617,0.91915,0.75287,0.9744,0.77735,1.3264,9.00819e-05,9.00819e-05,9.00819e-05
93,53945.3,0.46513,0.47517,1.07398,0.90897,0.84729,0.91673,0.75587,0.99775,0.80468,1.34733,8.10828e-05,8.10828e-05,8.10828e-05
94,53978.1,0.45843,0.46973,1.07823,0.93088,0.83873,0.91569,0.75947,0.98436,0.79846,1.33288,7.20837e-05,7.20837e-05,7.20837e-05
95,54010.4,0.45003,0.4655,1.07181,0.90147,0.87377,0.92186,0.758,0.98671,0.78436,1.32916,6.30846e-05,6.30846e-05,6.30846e-05
96,54043.2,0.45222,0.45684,1.07237,0.90212,0.87389,0.92137,0.75656,0.9876,0.7772,1.3329,5.40855e-05,5.40855e-05,5.40855e-05
97,54076.3,0.43858,0.43664,1.05843,0.90034,0.87446,0.92032,0.76645,0.97986,0.78888,1.33185,4.50864e-05,4.50864e-05,4.50864e-05
98,54109.6,0.44287,0.42937,1.06236,0.90023,0.86897,0.91985,0.77349,0.98452,0.76596,1.33956,3.60873e-05,3.60873e-05,3.60873e-05
99,54142.6,0.43233,0.43499,1.05507,0.88891,0.86117,0.91577,0.76674,0.98819,0.78597,1.34741,2.70882e-05,2.70882e-05,2.70882e-05
100,54175.9,0.43312,0.42373,1.05554,0.87695,0.87833,0.91871,0.76536,0.98321,0.77754,1.3412,1.80891e-05,1.80891e-05,1.80891e-05
